CALLS,,PUTS
,OI,CHNG IN OI,VOLUME,IV,LTP,CHNG,BID QTY,BID,ASK,ASK QTY,STRIKE,BID QTY,BID,ASK,ASK QTY,CHNG,LTP,IV,VOLUME,CHNG IN OI,OI,
,"1,12,163","86,711","9,49,257",11.21,135.00,-53.40,500,132.30,135.00,"16,375","23,600.00",325,149.00,155.00,275,-19.90,155.00,11.05,"9,82,548","45,921","92,148",
,"27,687","20,995","2,51,165",11.12,111.70,-56.05,25,108.65,110.40,25,"23,650.00",150,177.30,179.95,550,-16.55,177.30,10.62,"1,82,193","11,983","18,095",
,"92,091","59,797","6,62,011",10.79,88.00,-52.90,250,86.75,89.00,425,"23,700.00",25,205.65,210.60,75,-23.80,205.00,10.39,"3,70,077","4,239","39,137",
,"36,453","26,910","1,90,098",10.89,72.40,-49.10,75,69.30,72.40,900,"23,750.00",225,235.10,241.30,25,-10.40,241.50,10.66,"50,948",988,"9,217",
,"93,521","46,470","7,55,213",10.70,56.00,-44.75,225,56.00,57.00,"1,325","23,800.00",100,268.50,271.15,550,-15.30,269.50,9.92,"1,35,131","2,668","23,761",
,"26,680","15,772","1,82,847",10.59,43.00,-41.60,"2,075",43.00,45.00,975,"23,850.00",325,305.75,316.40,175,-11.35,312.40,10.36,"12,803",431,"3,583",
,"81,017","46,745","5,35,370",10.83,35.40,-34.95,25,34.10,35.40,100,"23,900.00",25,347.85,356.60,75,1.25,355.80,10.70,"42,008",902,"17,489",
,"30,123","19,214","1,71,801",10.75,26.65,-33.95,100,25.45,27.30,500,"23,950.00",25,388.10,399.65,50,4.50,395.00,10.34,"4,512",449,"2,184",
,"1,79,200","93,991","8,20,214",10.88,21.00,-29.10,25,20.50,21.50,"1,800","24,000.00",475,435.00,439.75,50,-2.85,436.30,9.90,"69,096","10,221","32,691",
,"28,876","16,036","1,68,693",11.20,17.60,-24.60,50,16.10,16.85,25,"24,050.00",150,477.80,488.20,100,3.15,481.80,9.86,"2,095",46,"1,322",
,"64,299","34,688","3,24,433",11.16,13.00,-23.00,200,12.05,13.00,"2,375","24,100.00",25,525.00,529.00,25,23.05,529.80,10.18,"10,908",529,"10,200",
,"40,852","22,324","1,54,904",11.09,9.30,-21.00,150,9.35,9.90,25,"24,150.00",25,575.00,581.85,200,29.85,575.00,9.40,"1,495",52,"8,342",
,"93,538","38,176","4,32,113",11.44,7.90,-17.85,75,7.50,7.90,925,"24,200.00",50,618.35,627.50,50,26.65,628.40,11.31,"12,205","2,149","19,932",
,"22,497","9,048","1,30,621",11.53,6.00,-15.75,375,6.05,6.50,50,"24,250.00",75,667.35,678.15,100,23.05,671.95,8.87,"1,180",-39,"3,258",
,"92,826","40,303","4,19,726",11.84,5.05,-14.25,"1,525",5.00,5.05,100,"24,300.00",325,715.40,722.00,25,22.15,718.70,-,"14,988",-501,"13,491",
,"20,443","7,619","1,18,712",12.16,4.30,-11.95,50,4.05,4.30,"1,325","24,350.00",250,763.70,776.60,100,29.20,768.20,-,666,-134,846,
,"76,328","34,105","3,28,035",12.49,3.70,-10.60,200,3.50,3.70,325,"24,400.00",125,813.55,822.50,25,35.00,818.60,-,"14,773","3,605","16,011",
,"26,662","15,623","1,13,560",12.76,3.10,-9.30,825,3.10,3.25,50,"24,450.00",150,861.55,874.45,25,33.35,866.65,-,257,138,435,
,"2,00,228","1,18,305","6,12,791",13.17,2.80,-8.25,"3,775",2.70,2.80,"1,700","24,500.00",125,912.25,921.85,50,43.10,917.95,-,"18,243","3,228","18,992",
,"13,223","2,953","57,903",13.42,2.35,-7.15,350,2.35,2.50,50,"24,550.00",75,961.50,999.00,400,47.90,987.90,19.14,245,-29,321,
,"52,810","21,678","2,16,762",13.83,2.15,-6.35,600,2.00,2.15,425,"24,600.00",150,"1,010.80","1,022.60",250,24.15,"1,014.75",-,"2,247","1,019","2,089",
